Movie,Worldwide Net Revenue
The Adventures of Rocky & Bullwinkle,-40870390 
The Secret Life of Pets,810302500 
Independence Day,742400878 
Dr. Seuss’ The Grinch,437777932 
Sing,556064182 
Despicable Me 3,957809657 
The Lost World: Jurassic Park,543638999 
Ice Age: The Meltdown,576899282 
Madagascar,481559566 
Grown Ups,197222420 
Shark Tale,296741123 
X-Men,221872367 
Wanted,267416460 
The Rock,261069511 
Ghostbusters: Afterlife,128614138 
50 First Dates,121320329 
Mamma Mia: Here We Go Again!,324165687 
Hairspray,127822861 
Now You See Me,267769200 
Dreamgirls,80620350 
Christopher Robin,122744377 
Inspector Gadget,22387965 
Immortals,136562435 
The Terminal,143673959 
Constantine,146593554 
Morbius,87759437 
Monster House,66267370 
Vertical Limit,138500000 
Charlie Wilson’s War,44512771 
Life,-1478413 
Abominable,113668517 
Be Cool,19944017 
House of Gucci,72474138 
Munich,56492772 
Killers,20572749 
The Man From U.N.C.L.E.,33517735 
Tears of the Sun,10632458 
Lady in the Water,-2214831 
Spanglish,-20655679 
Bandits,-3476729 
Anna and the King,-35748872 
First Knight,52361412 
Sucker Punch,14758389 
Hostage,2636443 
Inferno,144519367 
Hollywood Homicide,-24590247 
Titan A.E.,-38248021 
Flight of the Phoenix,-40990820 
Soldier,-60376918 
The 355,-56097202 
Virus,-44373310 
Monkeybone,-69590483 
PLAYMOBIL,-58711969 
Don’t Look Up,-74237142 
The Man From Toronto,-74530000 
Minions,1083271759 
The SpongeBob Movie: Sponge Out of Water,237013181 
The Lost City,108921990 
Unbreakable,174856037 
Talladega Nights: The Ballad of Ricky Bobby,89870525 
The Angry Birds Movie,279288341 
Snake Eyes,30891409 
Sphere,-22831706 
The Simpsons Movie,454571022 
Fool’s Gold,36862966 
Funny People,-619695 
The Kingdom,14302457 
Dr. Dolittle 2,104101721 
Braveheart,137045244 
Jarhead,24947540 
Driven,-17383131 
The Majestic,-34693666 
Two Brothers,-9823246 
The Village,185958659 
Doctor Dolittle,222656605 
Signs,337547959 
Shrek 2,865253978 
Cars,391630558 
Alvin and the Chipmunks: The Squeakquel,373483213 
It: Chapter Two,397563955 
Who Framed Roger Rabbit?,281500000 
Runaway Bride,240138178 
xXx,197200000 
Ocean’s 8,227718711 
Ransom,238700000 
Inglourious Basterds,246802281 
Hook,230854823 
Die Hard 2,169813888 
S.W.A.T.,137154748 
Daddy’s Home 2,105807183 
Sleepy Hollow,137068340 
Vanilla Sky,132726605 
Hercules,180700000 
Olympus Has Fallen,102878928 
The Bad Guys,180541452 
Battle: Los Angeles,143463976 
AVP: Alien Vs. Predator,102543519 
War Horse,86815529 
We Were Soldiers,44658262 
The Monuments Men,88702748 
Storks,113353431 
Star Trek: Insurrection,47800000 
Big Fish,53954323 
Wolf,61011757 
Underworld: Awakening,90379930 
The Lego Ninjago Movie,52737201 
Dracula Untold,150241723 
The Guardian,24973540 
The Abyss,-15756559 
Wall Street 2: Money Never Sleeps,67431619 
The Dilemma,546865 
Rumor Has It,18933562 
The Siege,46625798 
Stardust,67022245 
Rock of Ages,-8968068 
The Hitman’s Wife’s Bodyguard,-2612545 
Seven Years in Tibet,61445884 
Sky Captain and the World of Tomorrow,-20269146 
The Brave One,-207296 
I Spy,-9720178 
Bad Company,-842984 
Doom,-11242822 
The Finest Hours,-20747239 
Escape Plan,33735965 
Killer Elite,-4590954 
Hard Rain,-50129433 
Hart's War,-36923185 
Rollerball,-44147492 
The Legend of Hercules,-11046681 
Next,3591500 
Ballistic: Ecks vs. Sever,-55705158 
Osmosis Jones,-56403089 
Legends of Oz: Dorothy’s Return,-49892067 
Blackhat,-50334996 
Basic Instinct 2,-34582838 
Agora,-31007708 
The Old Guard,-70000000 
b,-70000000 
Despicable Me,474464573 
Dinner for Schmucks,17796502 
Red Sparrow,76951861 
The Twilight Saga: Eclipse,638102828 
Nope,103157629 
The Sum of All Fears,125500000 
Ted 2,149214143 
The Score,45542091 
Hall Pass,19173475 
Money Train,9224232 
Dreamcatcher,7685268 
Mystery Men,-34537989 
The Insider,-7734803 
Downsizing,-13537029 
Reminiscence,-52523407 
Dr. Seuss’ The Lorax,283476753 
Body of Lies,51056530 
Abraham Lincoln: Vampire Hunter,69989730 
The New Mutants,-22391753 
Last Man Standing,-48850003 
The Last Legion,-41642229 
Entrapment,145700000 
The X Files: Fight the Future,123176423 
The Dark Tower,47461527 
Need for Speed,128169619 
Saving Private Ryan,420035085 
What Women Want,309105123 
Lincoln,208346281 
Ice Age,321116343 
The Matrix,400974198 
Apollo 13,270802271 
Hotel Transylvania 3: Summer Vacation,462706567 
Les Misérables,373420442 
The Santa Clause 2,107844592 
Total Recall,196399830 
You’ve Got Mail,185800000 
Unbroken,98527824 
Spy!,168844106 
Due Date,146739043 
Step Brothers,63107642 
Jumanji,197758310 
The Mask of Zorro,168700000 
Space Cowboys,63874043 
Annie,74829625 
Cliffhanger,190000000 
Pete’s Dragon,72768975 
Broken Arrow,83345997 
World Trade Center,98295654 
The Kid,4688384 
Mona Lisa Smile,76205169 
The Dictator,115148897 
The Croods: A New Age,149790246 
Eyes Wide Shut,39264617 
This Means War,91974557 
Focus,103065700 
Blade: Trinity,66353165 
Red Dawn,-16835850 
We Are Marshall,-21454636 
Everest,156297061 
Resident Evil: Retribution,175647629 
The Angry Birds Movie 2,87255188 
Primary Colors,-25982016 
Fight Club,35820947 
Death Race,7516819 
The Long Kiss Goodnight,-31552388 
Proof of Life,-2238995 
Zathura,-6454460 
The Missing,-26746567 
Elektra,-8175367 
